base_price,competitor_price,inventory,inventory_ratio,day_of_week,is_weekend,month,is_holiday,demand_rolling_7d,demand_rolling_30d,demand_momentum,is_low_stock,is_critical_stock,price_gap,price_gap_pct,is_cheaper,is_overpriced,competitor_price_trend,competitor_trending_up,hour,quarter,is_peak_hour,is_month_end,price_elasticity,category_Books,category_Clothing,category_Electronics,category_Furniture,category_Groceries,season_autumn,season_spring,season_summer,season_winter,stock_tier_critical,stock_tier_low,stock_tier_medium,stock_tier_high,demand
3591.65,4155.66,191,0.382,5,1,1,0,105.0,105.0,0.0,0,0,-564.01,-13.57,1,0,748.87,1,10,1,1,0,-0.0265,0,1,0,0,0,0,0,0,1,0,0,1,0,93
2878.19,2367.29,57,0.114,0,0,1,1,99.0,99.0,0.0,1,0,510.9,21.58,0,1,2452.26,0,8,1,0,0,-0.1624,0,0,1,0,0,0,0,0,1,0,1,0,0,96
3067.13,3525.62,268,0.536,0,0,1,0,98.0,98.0,0.0,0,0,-458.49,-13.0,1,0,2423.94,1,13,1,1,1,-1.4281,0,0,0,1,0,0,0,0,1,0,0,0,1,87
3418.75,4006.77,366,0.732,1,0,1,0,95.25,95.25,0.0,0,0,-588.02,-14.68,1,0,2699.36,1,21,1,1,1,-1.3034,0,0,1,0,0,0,0,0,1,0,0,0,1,74
135.86,129.9,48,0.096,5,1,2,0,91.0,91.0,0.0,1,1,5.96,4.59,0,0,2960.84,0,9,1,0,0,-0.8725,0,0,0,1,0,0,0,0,1,1,0,0,0,136
1998.63,2245.29,464,0.928,2,0,2,0,98.5,98.5,0.0,0,0,-246.66,-10.99,1,0,2489.02,0,15,1,0,0,-0.0236,0,0,0,0,1,0,0,0,1,0,0,0,1,92
4223.39,4626.34,66,0.132,3,0,2,1,97.57,97.57,0.0,1,0,-402.95,-8.71,1,0,2454.2,1,14,1,0,0,-0.0488,0,1,0,0,0,0,0,0,1,0,1,0,0,87
1097.33,917.15,219,0.438,1,0,2,0,95.0,96.25,-1.25,0,0,180.18,19.65,0,0,3008.12,0,11,1,1,0,-0.4348,0,1,0,0,0,0,0,0,1,0,0,1,0,115
2597.04,2731.7,321,0.642,3,0,2,0,98.14,98.33,-0.19,0,0,-134.66,-4.93,1,0,2545.48,1,11,1,1,0,-0.1718,1,0,0,0,0,0,0,0,1,0,0,0,1,88
3440.9,2795.63,38,0.076,2,0,2,0,97.0,97.3,-0.3,1,1,645.27,23.08,0,1,2597.54,1,9,1,0,0,-0.1749,0,0,0,0,1,0,0,0,1,1,0,0,0,83
4109.14,4021.46,216,0.432,2,0,2,0,96.43,96.0,0.43,0,0,87.68,2.18,0,0,2493.25,1,18,1,1,0,-0.4343,0,0,1,0,0,0,0,0,1,0,0,1,0,76
3577.67,4146.46,377,0.754,5,1,2,0,96.71,94.33,2.38,0,0,-568.79,-13.72,1,0,2495.35,1,7,1,0,0,-0.3052,0,0,1,0,0,0,0,0,1,0,0,0,1,79
1370.68,1466.17,184,0.368,5,1,2,0,88.57,93.15,-4.58,0,0,-95.49,-6.51,1,0,3069.15,0,23,1,0,0,-0.8618,0,0,0,0,1,0,0,0,1,0,0,1,0,121
2992.77,3405.59,445,0.89,1,0,3,0,92.71,95.14,-2.43,0,0,-412.82,-12.12,1,0,2957.84,1,9,1,0,0,-0.3352,0,1,0,0,0,0,1,0,0,0,0,0,1,73
